,"t, hr","md, ft",prom_wob,prom_rpm,prom_q,prom_tq,p_ma_psi,rop_pph
0,8.0,469,11.0,55.0,265.0,2.0,300,54.0
1,10.0,1107,17.5,75.0,480.0,2.0,500,63.0
2,1.5,1107,10.0,60.0,480.0,9.5,800,46.0
3,1.5,1273,12.5,60.0,480.0,6.5,900,65.0
4,3.5,1467,10.0,60.0,480.0,6.5,900,55.0
5,2.0,1660,10.0,70.0,480.0,6.5,1000,96.0
6,3.0,1855,10.0,70.0,480.0,6.5,1000,65.0
7,3.5,2048,10.0,70.0,480.0,6.5,1000,55.0
8,3.5,2048,8.0,0.0,480.0,0.0,1050,55.0
9,3.0,2200,10.0,70.0,480.0,6.5,1000,51.0
10,3.0,2200,6.0,0.0,480.0,0.0,1000,51.0
11,3.5,2434,10.0,70.0,480.0,7.5,1100,55.0
12,4.0,2626,9.0,65.0,480.0,8.0,1100,48.0
13,4.0,2626,6.0,0.0,500.0,0.0,1050,48.0
14,3.5,2820,12.0,65.0,480.0,10.0,1200,55.0
15,2.5,3011,14.0,70.0,480.0,10.0,1300,76.0
16,5.5,3392,14.0,70.0,480.0,11.5,1300,69.0
17,1.0,3470,7.5,50.0,575.0,4.0,1650,78.0
18,3.0,200,8.5,50.0,125.0,2.0,80,55.0
19,6.0,507,17.5,60.0,365.0,4.0,450,51.0
20,1.0,592,7.5,45.0,615.0,4.0,950,85.0
21,2.5,817,10.0,40.0,450.0,4.5,550,90.0
22,1.5,910,10.0,40.0,450.0,4.5,550,62.0
23,3.0,1203,10.0,40.0,450.0,4.5,750,97.0
24,8.5,1591,7.0,40.0,440.0,4.5,800,45.6
25,6.5,2037,7.0,40.0,480.0,4.5,800,68.6
26,6.5,2462,11.0,50.0,480.0,4.5,950,65.0
27,9.5,3043,11.0,65.0,480.0,5.0,1100,61.0
28,4.0,3250,11.0,80.0,500.0,5.0,1100,51.0
29,5.0,3424,13.0,80.0,500.0,5.0,1000,51.0
30,3.5,97,3.0,45.0,65.0,3.0,15,17.0
31,4.5,192,7.0,55.0,148.0,3.5,35,21.0
32,10.0,548,3.0,80.0,500.0,2.0,90,36.0
33,3.0,688,4.0,60.0,600.0,3.5,950,46.0
34,1.0,783,2.0,70.0,725.0,3.5,1300,95.0
35,1.0,783,3.0,0.0,650.0,0.0,1050,95.0
